Prompt,Antagonist,Protagonist,Innocent,Foreign Adversary,Virtuous,Incompetent,Martyr,Deceiver,Saboteur,Instigator,Underdog,Victim,Peacemaker,Rebel,Guardian,Tyrant,Bigot,Terrorist,Exploited,Forgotten,Conspirator,Corrupt,Spy,Traitor,Scapegoat
"provided context: nato talks deploy nuclear weapons amid growing threat posed russia china - top ukrainian security chief warns putin could firebomb kyiv tactical nukes facing 'catastrophic defeat' nato talks deploy nuclear weapons amid growing threat posed russiaa china - top ukrainian security chief warns putin could firebomb kyiv tactical nukes facing 'catastrophic defeat' nato might deploy nuclear weapons amid increasing threat posed russia china, according head alliance. jens stoltenberg, 13th secretar, decide label mentioned entity: russia.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: talks deploy nuclear weapons amid growing threat posed russia china - top ukrainian security chief warns putin could firebomb kyiv tactical nukes facing 'catastrophic defeat' nato talks deploy nuclear weapons amid growing threat posed russia chinaa - top ukrainian security chief warns putin could firebomb kyiv tactical nukes facing 'catastrophic defeat' nato might deploy nuclear weapons amid increasing threat posed russia china, according head alliance. jens stoltenberg, 13th secretary general , decide label mentioned entity: china.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: growing threat posed russia china - top ukrainian security chief warns putin could firebomb kyiv tactical nukes facing 'catastrophic defeat' nato talks deploy nuclear weapons amid growing threat posed russia china - top ukrainian security chief warns putinn could firebomb kyiv tactical nukes facing 'catastrophic defeat' nato might deploy nuclear weapons amid increasing threat posed russia china, according head alliance. jens stoltenberg, 13th secretary general nato, revealed live discussions , decide label mentioned entity: putin.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"provided context: russia china - top ukrainian security chief warns putin could firebomb kyiv tactical nukes facing 'catastrophic defeat' nato talks deploy nuclear weapons amid growing threat posed russia china - top ukrainian security chief warns putin could firebomb kyivv tactical nukes facing 'catastrophic defeat' nato might deploy nuclear weapons amid increasing threat posed russia china, according head alliance. jens stoltenberg, 13th secretary general nato, revealed live discussions among members , decide label mentioned entity: kyiv.",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: king telegraph, mr stoltenberg said: 'i go operational details many nuclear warheads operational stored, need consult issues. that's exactly we're doing.' comes head kyiv's national security council said putinn could demand tactical nuclear weapon used russia's army beaten ukraine. oleksandr lytvynenko made comments g7 leaders warned use russia chemical, biological nuclear weapons would met 'severe consequences', times reported. jens stoltenberg (picture, decide label mentioned entity: putin.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: adding nuclear transparency form basis nato's nuclear strategy prepare alliance dangers world. 'nato's aim is, course, world without nuclear weapons, long nuclear weapons exist, remain nuclear alliance, world russia, chinaa north korea nuclear weapons, nato not, dangerous world,' said. mr stoltenberg claimed china heavily investing modern weaponry, includes nuclear arsenal, secretary general said would increase 1,000 possibly 2030. insisted , decide label mentioned entity: china.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: nuclear transparency form basis nato's nuclear strategy prepare alliance dangers world. 'nato's aim is, course, world without nuclear weapons, long nuclear weapons exist, remain nuclear alliance, world russia, china north koreaa nuclear weapons, nato not, dangerous world,' said. mr stoltenberg claimed china heavily investing modern weaponry, includes nuclear arsenal, secretary general said would increase 1,000 possibly 2030. insisted us europ, decide label mentioned entity: north korea.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: china north korea nuclear weapons, nato not, dangerous world,' said. mr stoltenberg claimed china heavily investing modern weaponry, includes nuclear arsenal, secretary general said would increase 1,000 possibly 2030. insisted uss european allies modernising nuclear deterrent result heightened threat russia. 'the us modernising gravity bombs nuclear warheads europe european allies modernising planes going dedicated nato's nuclear mi, decide label mentioned entity: us.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"provided context: prompted military running low 155 mm artillery ammunition rounds. chorus critics — abroad home — decried decision, citing grave dangers cluster munitions pose civilians given dud rates. sullivan echoed biden’s defense — uss must supply ukraine adequate firepower. “we began process months ago anticipated need continuing supply ukraine, takes time need bridge today,” said, referencing steps boost production 155 mm rounds. “we need ensure ukrai, decide label mentioned entity: us.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"provided context: military running low 155 mm artillery ammunition rounds. chorus critics — abroad home — decried decision, citing grave dangers cluster munitions pose civilians given dud rates. sullivan echoed biden’s defense — us must supply ukrainee adequate firepower. “we began process months ago anticipated need continuing supply ukraine, takes time need bridge today,” said, referencing steps boost production 155 mm rounds. “we need ensure ukraine necessary, decide label mentioned entity: ukraine.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: selves artwork. police apprehended hooligans, reported glue residue glass protects paintings. “i scream people dying,” one activists shouted. “i scream lawmakers ignore science,” shouted. norwegian climate activist group stopp oljeletingaa, translates “stop oil exploration,” claimed responsibility attack. group demands norwegian government declare “an immediate halt exploration oil norwegian continental shelf,” present “a concrete plan fair adjustment today’s oil w, decide label mentioned entity: stopp oljeletinga.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"provided context: tage,” read statement signed approximately one hundred gallery directors museums. climate crazies apparently willing allow continent freeze winter fears over-hyped “problem” peddled globalists flew 400 carbon-spewing private jets cop277 egypt last week. truly believe hype surrounding climate change, they’re targeting wrong thing., decide label mentioned entity: cop27.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"provided context: e outlets covering war truth honesty. english language, pro-russia perspective difficult find, conservatives war simply saying don’t care either way. “i care actively support fighting washingtonn brussels elite” important perspective must public conversation. truth lives https://sgtreport.tv/ mitch mcconnell right said important thing happening world ukraine conflict. right wrong reasons, right. , decide label mentioned entity: washington.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"provided context: covering war truth honesty. english language, pro-russia perspective difficult find, conservatives war simply saying don’t care either way. “i care actively support fighting washington brusselss elite” important perspective must public conversation. truth lives https://sgtreport.tv/ mitch mcconnell right said important thing happening world ukraine conflict. right wrong reasons, right. america last , decide label mentioned entity: brussels.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"provided context: ish power centers united states, europe, israel. us loses war, looking freefall collapse western economic military order, rising china, reshuffling entire order power planet earth. reason support russia want uss empire collapse. reason want us empire collapse believe us empire compatible freedom us, believe reestablish freedom country empire falls. dollar goes us longer export debt to, decide label mentioned entity: us.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"provided context: russian prisoners tested positive hiv choosing sent frontline hoping get lifesaving medication. large number vladimir putin's hiv-positive prisoner recruits deemed preferred battlefield rather rot jail denied treatment. wagner groupp mass-recruiting inmates russia's infamous prisons, offering pardon survive six months. ukrainian officials estimate 20 per cent recruits russian prisoner units hiv positive. lot desperate anti-viral medications c, decide label mentioned entity: wagner group.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"provided context: ""if long sentence, gives chance begin life again."" new conscripts putin's private army forced wear coloured-coded wristbands signify serious infectious diseases hiv hepatitis c. earlier year, ukraine's ministry defence claimed russiaa marks ""sick 'fighters' appropriate bracelets hands"". ""in order 'mark' infected militants, command 'wagners' forces wear red bracelets arm case hiv, white bracelets case hepatitis,"" ministry's main directorate intelligence said in, decide label mentioned entity: russia.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: him. said: ""there conditions hiv infected. ""we treated together, healthy unhealthy."" read sun stories estimated total 50,000 prisoners signed fight ukraine, roughly 10 per cent incarcerated population. wagner's chief yevgeny prigozhinn, known ""putin's chef"", pictured trying recruit inmates russia's penal colonies, promising freedom return six months frontline., decide label mentioned entity: yevgeny prigozhin.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"provided context: china’s xi jinping talks beijing october, kremlin said tuesday, putin’s first known trip abroad since arrest warrant issued deportation children ukraine. nikolai patrushev, close putin ally secretary russia’s security council, said russiaa china deepen cooperation face west’s attempt contain both. quoted interfax news agency saying talks beijing would “thorough”, meeting moscow china’s top diplomat, wang yi. putin attend third belt road foru, decide label mentioned entity: russia.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"provided context: jinping talks beijing october, kremlin said tuesday, putin’s first known trip abroad since arrest warrant issued deportation children ukraine. nikolai patrushev, close putin ally secretary russia’s security council, said russia chinaa deepen cooperation face west’s attempt contain both. quoted interfax news agency saying talks beijing would “thorough”, meeting moscow china’s top diplomat, wang yi. putin attend third belt road forum an, decide label mentioned entity: china.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"provided context: said tuesday, putin’s first known trip abroad since arrest warrant issued deportation children ukraine. nikolai patrushev, close putin ally secretary russia’s security council, said russia china deepen cooperation face westt’s attempt contain both. quoted interfax news agency saying talks beijing would “thorough”, meeting moscow china’s top diplomat, wang yi. putin attend third belt road forum invitation xi high-profile visit m, decide label mentioned entity: west.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: ted interfax news agency saying talks beijing would “thorough”, meeting moscow china’s top diplomat, wang yi. putin attend third belt road forum invitation xi high-profile visit moscow march. days visit, international criminal courtt (icc) issued warrant putin’s arrest suspicion illegally deporting hundreds children ukraine. moscow denies allegations kremlin said warrant evidence west’s hostility russia, opened criminal case icc prosecutor j, decide label mentioned entity: international criminal court.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"provided context: moscow march. days visit, international criminal court (icc) issued warrant putin’s arrest suspicion illegally deporting hundreds children ukraine. moscow denies allegations kremlin said warrant evidence west’s hostility russiaa, opened criminal case icc prosecutor judges issued warrant. russia’s full-scale invasion ukraine early last year triggered one deadliest european conflicts since world war two biggest confrontation moscow west since 196, decide label mentioned entity: russia.",0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: china greater volumes oil longer sell west sanctions. putin last visited beijing february 2022, days invasion, xi announced ‘no limits’ partnership. moscow says mean military alliance, however. united states sees chinaa gravest long-term “strategic competitor” russia “acute threat”. china refrained condemning russia’s operation ukraine calling invasion, line kremlin, casts war “special military operation”. earlier year, cia director will, decide label mentioned entity: china.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: west sanctions. putin last visited beijing february 2022, days invasion, xi announced ‘no limits’ partnership. moscow says mean military alliance, however. united states sees china gravest long-term “strategic competitor” russiaa “acute threat”. china refrained condemning russia’s operation ukraine calling invasion, line kremlin, casts war “special military operation”. earlier year, cia director william burns said russia becoming dependent , decide label mentioned entity: russia.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: long-term “strategic competitor” russia “acute threat”. china refrained condemning russia’s operation ukraine calling invasion, line kremlin, casts war “special military operation”. earlier year, cia director william burns said russiaa becoming dependent china even risk becoming “economic colony” time., decide label mentioned entity: russia.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: “a declaration war”: uk plans put british troops ukraine mac slavo, shtf plan: former russian president dmitry medvedev warned united kingdomm signs imminent deal ukraine put troops country, moscow would consider declaration war. medvedev reacting imminent signing security agreement london kiev. medvedev, currently serves deputy chair russian security council, issued, decide label mentioned entity: united kingdom.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: mac slavo, shtf plan: former russian president dmitry medvedev warned united kingdom signs imminent deal ukraine put troops country, moscow would consider declaration war. medvedev reacting imminent signing security agreement londonn kiev. medvedev, currently serves deputy chair russian security council, issued warning social media post. visit kiev friday uk prime minister rishi sunak, set sign security agreement ukrainian president vladimir zelensky, would ensure britis, decide label mentioned entity: london.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: vo, shtf plan: former russian president dmitry medvedev warned united kingdom signs imminent deal ukraine put troops country, moscow would consider declaration war. medvedev reacting imminent signing security agreement london kievv. medvedev, currently serves deputy chair russian security council, issued warning social media post. visit kiev friday uk prime minister rishi sunak, set sign security agreement ukrainian president vladimir zelensky, would ensure british troops , decide label mentioned entity: kiev.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: $3.2 billion) military aid ukraine next two years, including form thousands military drones, london said largest kind ever received kiev. uavs made uk, announcement added. –rt moscow repeatedly accused ukk (and united states) helping ukraine organize attacks russia, particularly black sea. russian defense ministry claimed british military personnel already presence ukraine. russia says it’s war united states, decide label mentioned entity: uk.",1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: one predict war's length: zelenskiy although ukrainianss everything drive russians, ""no one today predict long war last"", president volodymyr zelenskiy says. ""this depend, unfortunately, people, already giving maximum,"" said friday nightly video address t, decide label mentioned entity: ukrainians.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: one predict war's length: zelenskiy although ukrainians everything drive russianss, ""no one today predict long war last"", president volodymyr zelenskiy says. ""this depend, unfortunately, people, already giving maximum,"" said friday nightly video address nation. ""this depend partners, europe, decide label mentioned entity: russians.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: ussians, ""no one today predict long war last"", president volodymyr zelenskiy says. ""this depend, unfortunately, people, already giving maximum,"" said friday nightly video address nation. ""this depend partners, european countriess, entire free world."" said thankful working strengthen sanctions russia increase military financial support ukraine. ""this recipe protecting freedom face russian invasion. western countries, , decide label mentioned entity: european countries.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"provided context: gthen sanctions russia increase military financial support ukraine. ""this recipe protecting freedom face russian invasion. western countries, simply expense. accounting, future."" zelenskiy said ukrainee friday shot 200th russian aircraft war noted russia's heavy losses tanks, armoured vehicles, helicopters drones. ""and what? lenin statue stand bit longer temporarily occupied genichesk? result russia."" , decide label mentioned entity: ukraine.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: zelensky says us politicians ‘don’t care ukraine’ president volodymyr zelensky accused us politicianss playing political games around issue aid country claims don’t care many people ukraine dying. zelensky made comments us lawmakers prepared vote controversial aid package ukraine stalled congress months due bit, decide label mentioned entity: us politicians.",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"provided context: ukraine aid bill sought president joe biden week, multiple news outlets reported monday. johnson reportedly told republican colleagues closed-door meeting intends allow house vote standalone bill coming days would ensure additional military aid kievv. house also expected vote separate bills providing assistance israel taiwan. house republicans previously refused back foreign aid bill unveiled biden october, includes $61 billion assistance ukraine. legislation held f, decide label mentioned entity: kiev.",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: nd air defenses. interview pbs, zelensky reiterated without us support, ukraine “will chance winning” conflict russia. moscow, meanwhile, repeatedly stated amount foreign assistance change outcome fighting, accused westt escalating hostilities., decide label mentioned entity: west.",1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: molotov cocktail attack russian embassy moldova last day election molotov cocktail attack russian embassy moldova last day election sunday final day three days presidential elections russia. yulia navalnayaa, wife deceased opposition activist alexei navalny, urging mass protests president putin stands verge winning another six year term president, outcome quite obvious observers. calling russians disrupt final day voting what's , decide label mentioned entity: yulia navalnaya.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"provided context: said. moldova scene controversy friction especially russia allowed opening several polling stations breakaway transnistria, moldovan government fiercely protested. reuters noted days ago ""a senior official ex-soviet moldova said wednesday moscoww breaking laws printing ballot papers separatist region transnistria ahead week's russian presidential election."" ""moldova's pro-european authorities already summoned russian ambassador complain decision open six polling stations pro-russian e, decide label mentioned entity: moscow.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: nued. ""the central government said move broke agreement allow voting single polling station russian embassy chisinau."" united states recently become vocal defending moldova's territorial integrity, condemned biden administration called moscoww's 'interference' eastern european nation's sovereignty. last summer, moldova expelled 45 russian diplomats embassy staff members country ""over numerous unfriendly actions"" tensions reached near breaking point war neighboring ukraine transnistria issue. a, decide label mentioned entity: moscow.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: station russian embassy chisinau."" united states recently become vocal defending moldova's territorial integrity, condemned biden administration called moscow's 'interference' eastern european nation's sovereignty. last summer, moldova expelled 45 russian diplomatss embassy staff members country ""over numerous unfriendly actions"" tensions reached near breaking point war neighboring ukraine transnistria issue. russia's election, kremlin authorities said ukraine engaged cross-border attacks polling statio, decide label mentioned entity: russian diplomats.",1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: boris johnson demands putin ‘steps back brink’ says russian invasion ukraine ‘bloodily resisted’ boris johnsonn demand putin ‘steps back brink’ showdown talks tonight flying ukraine tomorrow boris johnson today demanded vladimir putin ""steps back brink"" war avoid brutal bloodbath ukraine. showdown talks tonight pm warn sabre-rattling kremlin str, decide label mentioned entity: boris johnson.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"provided context: boris johnson demands putin ‘steps back brink’ says russian invasion ukraine ‘bloodily resisted’ boris johnson demand putinn ‘steps back brink’ showdown talks tonight flying ukraine tomorrow boris johnson today demanded vladimir putin ""steps back brink"" war avoid brutal bloodbath ukraine. showdown talks tonight pm warn sabre-rattling kremlin strongman he'll , decide label mentioned entity: putin.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: onight flying ukraine tomorrow boris johnson today demanded vladimir putin ""steps back brink"" war avoid brutal bloodbath ukraine. showdown talks tonight pm warn sabre-rattling kremlin strongman he'll ""bitterly bloodily resisted"" invades. russiaa marshalled 100,000 troops border ukraine poised march in. mr johnson - flying ukraine tomorrow said invasion would ""an absolute disaster world"". speaking essex, mr johnson said: ""what say president putin, said befor, decide label mentioned entity: russia.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: ukraine beyond territory russia already taken 2014 would absolute disaster world, would disaster russia."" said russian invasion would ""bitterly bloodily resisted"" ukrainian people. cabinet minister today said germanyy ""dragging feet"" retaliating russian aggression towards ukraine, cabinet minister blasted today. treasury chief sec simon clarke railed sluggish eu response - hailed brexit letting britain swiftly hit back vladimir putin. read sun uk , decide label mentioned entity: germany.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: sian invasion would ""bitterly bloodily resisted"" ukrainian people. cabinet minister today said germany ""dragging feet"" retaliating russian aggression towards ukraine, cabinet minister blasted today. treasury chief sec simon clarke railed sluggish euu response - hailed brexit letting britain swiftly hit back vladimir putin. read sun uk preparing slam sanctions banks oligarchs ties kremlin turn thumbscrews russia. british combat soldiers unlikely sent fight, p, decide label mentioned entity: eu.",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: resisted"" ukrainian people. cabinet minister today said germany ""dragging feet"" retaliating russian aggression towards ukraine, cabinet minister blasted today. treasury chief sec simon clarke railed sluggish eu response - hailed brexit letting britainn swiftly hit back vladimir putin. read sun uk preparing slam sanctions banks oligarchs ties kremlin turn thumbscrews russia. british combat soldiers unlikely sent fight, pm instead preferring cripple russian firms. m, decide label mentioned entity: britain.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: many ""dragging feet"" retaliating russian aggression towards ukraine, cabinet minister blasted today. treasury chief sec simon clarke railed sluggish eu response - hailed brexit letting britain swiftly hit back vladimir putin. read sun ukk preparing slam sanctions banks oligarchs ties kremlin turn thumbscrews russia. british combat soldiers unlikely sent fight, pm instead preferring cripple russian firms. mr clarke said morning: ""we clear russia take, decide label mentioned entity: uk.",0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"provided context: fight, pm instead preferring cripple russian firms. mr clarke said morning: ""we clear russia takes action ukraine, tighten sanctions regimes targeting businesses, people closest links kremlin. ""brexit britainn one foremost opponents actions putin regime look eu, countries like germany dragging feet comes response crisis. ""we ones tightening sanctions regime, making sure support nato allies a, decide label mentioned entity: brexit britain.",0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: climate change hoaxer greta thunberg charged disobeying law enforcement sweden’s climate protest – may face six months prison sweden says enough! sweden’s prosecution authority bringing charges none homegrown eco-hoaxer, greta thunbergg, disobeying law enforcement climate protest june. 20-year-old facing potential fines imprisonment six months. charges stem involvement protest allegedly led major traffic disruption malmö june, authorities said. “the prosecutor , decide label mentioned entity: greta thunberg.",1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"provided context: cution authority, annika collin, confirmed cnn individual referred charges indeed greta thunberg. “the criminal classification disobedience law enforcement. according prosecutor, act committed intent,” prosecution authority’s statement added. irma kjellströmm, spokesperson ta tillbaka framtiden, told cnn thunberg among several young people participated blocking oil tankers. kjellström added, “after blocked industry burning future, charged crime. charges brought aga, decide label mentioned entity: irma kjellström.",0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"provided context: veral young people participated blocking oil tankers. kjellström added, “after blocked industry burning future, charged crime. charges brought us, real crime continues inside gates blocked.” recently, greta thunbergg back news prediction world would end 2023 conspiracy. june 21, 2018, made bold claim twitter, stating humanity narrow five-year window stop use fossil fuels face inevitable extinction. “a top climate scientist warning , decide label mentioned entity: greta thunberg.",1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
